iter	CatCustomAveragePrecisionScore	Logloss
0	0.2736623741	0.4651811243
1	0.3348460941	0.3357168421
2	0.44061167	0.2145830802
3	0.44061167	0.1721913607
4	0.4958529308	0.1177453767
5	0.5364397096	0.0862230283
6	0.5889830065	0.07152564818
7	0.6261791379	0.05843695869
8	0.6393321523	0.04983217896
9	0.6494827372	0.04568723162
10	0.6570571128	0.04183392592
11	0.667924245	0.03832506514
12	0.6800040193	0.03663104948
13	0.6850276172	0.03445191745
14	0.6926901263	0.03254139062
15	0.6963158041	0.03117682038
16	0.7036043984	0.02979091673
17	0.7115257694	0.02898472579
18	0.720246445	0.02807501951
19	0.7243947311	0.02738055319
20	0.7265456948	0.02690422705
21	0.7318883413	0.02648408873
22	0.7349576532	0.02616880319
23	0.7419473283	0.02558219028
24	0.7468626164	0.02525393377
25	0.7509001103	0.02498325246
26	0.7531344566	0.02461937391
27	0.7559992588	0.02441052018
28	0.7601262255	0.02404771094
29	0.7631052369	0.0236977108
30	0.7663413306	0.02350890853
31	0.7684852919	0.02323846001
32	0.7712072091	0.02305648584
33	0.7738253986	0.02286112773
34	0.7768577892	0.02268007898
35	0.7795461223	0.02253533846
36	0.7824130193	0.02237999649
37	0.7842171006	0.02226669911
38	0.7852019527	0.02214497247
39	0.7872775107	0.02203396135
40	0.7891395828	0.0218473579
41	0.7905604889	0.02175896311
42	0.7921459544	0.02167072476
43	0.7940039297	0.02156204749
44	0.7955427831	0.02139921439
45	0.79672974	0.02129971732
46	0.7987101909	0.021159807
47	0.8002061338	0.02106422843
48	0.8014082405	0.02097755606
49	0.8024275772	0.02088885021
50	0.8031032982	0.02081701623
51	0.8038250729	0.02076840954
52	0.8049296681	0.02070450285
53	0.8060471237	0.02059805208
54	0.8069277526	0.02054577888
55	0.8080441756	0.02045994117
56	0.8086359652	0.02040142379
57	0.8092947627	0.02033873486
58	0.8101538804	0.02028672901
59	0.810699241	0.0202441603
60	0.8114263127	0.02019490009
61	0.8124767326	0.02012982208
62	0.8135021722	0.02004625973
63	0.8140298769	0.02000330863
64	0.8147827663	0.01993580115
65	0.8159527406	0.01986135851
66	0.8164181635	0.01982505683
67	0.8174856148	0.0197579086
68	0.8185864446	0.01970304965
69	0.8190595683	0.01966652697
70	0.8197914143	0.01961621181
71	0.8206441103	0.01956973292
72	0.8217465957	0.01949434472
73	0.8226860934	0.0194337929
74	0.8234955104	0.01937727312
75	0.824022256	0.01935129812
76	0.8246772232	0.01931823227
77	0.8250942724	0.01928137037
78	0.8255981621	0.01923923254
79	0.8260684897	0.01920806138
80	0.8266176651	0.01916843451
81	0.8271619584	0.01913311231
82	0.8278566553	0.01909582776
83	0.8287378848	0.01902854695
84	0.829287827	0.01899125245
85	0.8302443407	0.01892799746
86	0.8304629757	0.01890953756
87	0.8308253227	0.01888991269
88	0.8311556172	0.01885369924
89	0.8314210641	0.01883432827
90	0.8321275994	0.01877669378
91	0.8324483405	0.01874904098
92	0.8330412008	0.01870700332
93	0.8334965089	0.01867342084
94	0.8339914151	0.0186407174
95	0.8345398004	0.01860486953
96	0.8348150568	0.01858802759
97	0.8351534677	0.01856549426
98	0.835611393	0.0185301713
99	0.8361311638	0.01848957192
100	0.8366401493	0.01845090535
101	0.8369885699	0.01840774124
102	0.8373513365	0.01838533636
103	0.8377616491	0.01834954633
104	0.837954488	0.01833726242
105	0.838225022	0.01832186509
106	0.8384855051	0.01830416084
107	0.8387135628	0.01828570188
108	0.8391595361	0.01825622009
